38,BK4WG,In The Wild Garden Book,https://www.jellycat.com/images/products/medium/BK4WG.jpg,"ONE SIZE - H8"" X W8""",$15.00 USD,
39,BB444T,If I Were A Tiger Book,https://www.jellycat.com/images/products/medium/BB444T.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
40,BK4EB,Elly Ballerina Book,https://www.jellycat.com/images/products/medium/BK4EB.jpg,"ONE SIZE - H12""",$15.00 USD,
41,BK4WIB,When I Am Big Book,https://www.jellycat.com/images/products/medium/BK4WIB.jpg,"ONE SIZE - H8""",$15.00 USD,
42,BB444BEE,If I Were A Bee Book,https://www.jellycat.com/images/products/medium/BB444BEE.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
43,BB444M,If I Were A Monkey Book,https://www.jellycat.com/images/products/medium/BB444M.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
44,BK4ML,I Might Be Little Book,https://www.jellycat.com/images/products/medium/BK4ML.jpg,"ONE SIZE - H7"" X W7""",$15.00 USD,
45,BK4DLM,Daddy Loves Me Book,https://www.jellycat.com/images/products/medium/BK4DLM.jpg,"ONE SIZE - H6"" X W6""",$20.00 USD,
46,BB444FOX,If I Were A Fox Book,https://www.jellycat.com/images/products/medium/BB444FOX.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
47,BB444OWL,If I Were An Owl Book,https://www.jellycat.com/images/products/medium/BB444OWL.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
48,BK4SPB,Scruffy Puppy Book,https://www.jellycat.com/images/products/medium/BK4SPB.jpg,"ONE SIZE - H7""",$15.00 USD,
49,BB444AL,If I Were An Alien Book,https://www.jellycat.com/images/products/medium/BB444AL.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
50,BB444R,If I Were A Rabbit Book,https://www.jellycat.com/images/products/medium/BB444R.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
51,BK4IKM,I Know A Monkey Book,https://www.jellycat.com/images/products/medium/BK4IKM.jpg,"ONE SIZE - H9"" X W9""",$15.00 USD,
52,BK4TTF,A Tale Of Two Friends Book,https://www.jellycat.com/images/products/medium/BK4TTF.jpg,"ONE SIZE - H9"" X W9""",$15.00 USD,
53,BK4S,Sweetcorn Book,https://www.jellycat.com/images/products/medium/BK4S.jpg,"ONE SIZE - H7"" X W6""",$18.50 USD,
54,BB444GI,If I Were A Giraffe Book,https://www.jellycat.com/images/products/medium/BB444GI.jpg,"ONE SIZE - H6""",$13.50 USD,
55,BB444LBN,If I Were A Lamb Book,https://www.jellycat.com/images/products/medium/BB444LBN.jpg,"ONE SIZE - H6""",$13.50 USD,
56,BB444BWP,If I Were A Puppy Book,https://www.jellycat.com/images/products/medium/BB444BWP.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
57,BK4AA,Avocado Fabric Book,https://www.jellycat.com/images/products/medium/BK4AA.jpg,"ONE SIZE - H6"" X W6""",$18.50 USD,
58,BK4MLM,Mummy Loves Me Book,https://www.jellycat.com/images/products/medium/BK4MLM.jpg,"ONE SIZE - H6"" X W6""",$20.00 USD,
59,BK4BP,My Best Pet Book,https://www.jellycat.com/images/products/medium/BK4BP.jpg,"ONE SIZE - H9""",$15.00 USD,
60,BK4KS,The Koala Who Couldnt Sleep Book,https://www.jellycat.com/images/products/medium/BK4KS.jpg,"ONE SIZE - H8"" X W8""",$15.00 USD,
61,BK444FTFR,Coucou Ferme Livre,https://www.jellycat.com/images/products/medium/BK444FTFR.jpg,"ONE SIZE - H8"" X W5""",$18.50 USD,
62,BB444FLAM,If I Were A Flamingo Book,https://www.jellycat.com/images/products/medium/BB444FLAM.jpg,"ONE SIZE - H6"" X W6""",$13.50 USD,
63,BK4MF,My Farm Book,https://www.jellycat.com/images/products/medium/BK4MF.jpg,"ONE SIZE - H4"" X W4""",$13.00 USD,
64,BK4MJ,My Jungle Book,https://www.jellycat.com/images/products/medium/BK4MJ.jpg,"ONE SIZE - H4"" X W4""",$13.00 USD,
